id,rate2040,rate2013,limitNum2040,limitNum2013
hokkaido,32.40 ,23.53 ,369,268
aomori,26.03 ,8.89 ,82,28
iwate,31.75 ,15.32 ,114,55
miyagi,13.02 ,7.62 ,53,31
akita,17.62 ,4.85 ,40,11
yamagata,21.30 ,9.03 ,59,25
fukushima,19.36 ,10.64 ,91,50
ibaraki,5.35 ,0.55 ,29,3
tochigi,10.36 ,5.18 ,40,20
gunma,6.50 ,1.86 ,21,6
saitama,1.11 ,0.25 ,9,2
chiba,5.32 ,1.33 ,44,11
tokyo,0.85 ,0.54 ,11,7
kanagawa,1.28 ,0.58 ,11,5
nigata,11.86 ,5.53 ,60,28
toyama,7.69 ,2.56 ,15,5
ishikawa,16.89 ,4.89 ,38,11
fukui,17.00 ,8.50 ,34,17
yamanashi,19.13 ,9.29 ,35,17
nagano,10.24 ,3.77 ,38,14
gifu,9.65 ,3.49 ,36,13
shizuoka,9.38 ,5.27 ,48,27
aichi,3.58 ,2.35 ,35,23
mie,13.37 ,6.17 ,52,24
shiga,4.85 ,3.96 ,11,9
kyoto,12.03 ,5.26 ,48,21
osaka,1.38 ,1.08 ,14,11
hyogo,7.70 ,1.93 ,60,15
nara,9.76 ,3.90 ,20,8
wakayama,29.46 ,19.09 ,71,46
tottori,14.07 ,4.44 ,19,6
shimane,31.19 ,17.43 ,68,38
okayama,17.66 ,10.20 ,71,41
hiroshima,13.16 ,6.68 ,65,33
yamaguchi,31.31 ,21.73 ,98,68
tokushima,26.06 ,15.43 ,49,29
kagawa,11.63 ,6.98 ,20,12
ehime,34.07 ,21.77 ,108,69
kochi,38.50 ,16.00 ,77,32
fukuoka,6.65 ,4.12 ,50,31
saga,12.72 ,10.40 ,22,18
nagasaki,32.97 ,15.53 ,121,57
kumamoto,13.98 ,5.80 ,53,22
oita,28.67 ,16.08 ,82,46
miyazaki,24.69 ,16.87 ,60,41
kagoshima,42.06 ,30.47 ,225,163
okinawa,21.19 ,14.87 ,57,40
