id,town,rate2040,rate2013
1110,札幌市,1.96 ,1.47 
1202,函館市,17.39 ,6.52 
1203,小樽市,16.67 ,8.33 
1204,旭川市,18.18 ,16.36 
1205,室蘭市,11.11 ,11.11 
1206,釧路市,10.71 ,10.71 
1207,帯広市,11.54 ,3.85 
1208,北見市,30.77 ,23.08 
1209,夕張市,0.00 ,0.00 
1210,岩見沢市,13.33 ,13.33 
1211,網走市,33.33 ,0.00 
1212,留萌市,33.33 ,16.67 
1213,苫小牧市,4.17 ,0.00 
1214,稚内市,61.54 ,53.85 
1215,美唄市,60.00 ,0.00 
1216,芦別市,60.00 ,60.00 
1217,江別市,15.79 ,10.53 
1218,赤平市,80.00 ,0.00 
1219,紋別市,57.14 ,42.86 
1220,士別市,62.50 ,25.00 
1221,名寄市,40.00 ,40.00 
1222,三笠市,50.00 ,0.00 
1223,根室市,55.56 ,44.44 
1224,千歳市,23.53 ,23.53 
1225,滝川市,0.00 ,0.00 
1226,砂川市,0.00 ,0.00 
1227,歌志内市,0.00 ,0.00 
1228,深川市,50.00 ,16.67 
1229,富良野市,55.56 ,33.33 
1230,登別市,0.00 ,0.00 
1231,恵庭市,0.00 ,0.00 
1233,伊達市,40.00 ,20.00 
1234,北広島市,11.11 ,11.11 
1235,石狩市,30.77 ,15.38 
1236,北斗市,36.36 ,27.27 
1303,当別町,33.33 ,33.33 
1304,新篠津村,0.00 ,0.00 
1331,松前町,66.67 ,0.00 
1332,福島町,50.00 ,0.00 
1333,知内町,66.67 ,66.67 
1334,木古内町,0.00 ,0.00 
1337,七飯町,55.56 ,55.56 
1343,鹿部町,0.00 ,0.00 
1345,森町,42.86 ,42.86 
1346,八雲町,83.33 ,66.67 
1347,長万部町,66.67 ,66.67 
1361,江差町,0.00 ,0.00 
1362,上ノ国町,80.00 ,60.00 
1363,厚沢部町,75.00 ,75.00 
1364,乙部町,66.67 ,66.67 
1367,奥尻町,100.00 ,33.33 
1370,今金町,50.00 ,50.00 
1371,せたな町,71.43 ,57.14 
1391,島牧村,100.00 ,0.00 
1392,寿都町,50.00 ,0.00 
1393,黒松内町,50.00 ,50.00 
1394,蘭越町,66.67 ,33.33 
1395,ニセコ町,50.00 ,50.00 
1396,真狩村,50.00 ,50.00 
1397,留寿都村,0.00 ,0.00 
1398,喜茂別町,50.00 ,50.00 
1399,京極町,50.00 ,50.00 
1400,倶知安町,20.00 ,0.00 
1401,共和町,0.00 ,0.00 
1402,岩内町,0.00 ,0.00 
1403,泊村,0.00 ,0.00 
1404,神恵内村,100.00 ,0.00 
1405,積丹町,100.00 ,75.00 
1406,古平町,0.00 ,0.00 
1407,仁木町,50.00 ,0.00 
1408,余市町,40.00 ,40.00 
1409,赤井川村,100.00 ,50.00 
1423,南幌町,0.00 ,0.00 
1424,奈井江町,0.00 ,0.00 
1425,上砂川町,0.00 ,0.00 
1427,由仁町,0.00 ,0.00 
1428,長沼町,80.00 ,40.00 
1429,栗山町,66.67 ,0.00 
1430,月形町,0.00 ,0.00 
1431,浦臼町,0.00 ,0.00 
1432,新十津川町,0.00 ,0.00 
1433,妹背牛町,0.00 ,0.00 
1434,秩父別町,0.00 ,0.00 
1436,雨竜町,0.00 ,0.00 
1437,北竜町,0.00 ,0.00 
1438,沼田町,0.00 ,0.00 
1452,鷹栖町,0.00 ,0.00 
1453,東神楽町,50.00 ,50.00 
1454,当麻町,50.00 ,50.00 
1455,比布町,0.00 ,0.00 
1456,愛別町,0.00 ,0.00 
1457,上川町,0.00 ,0.00 
1458,東川町,75.00 ,50.00 
1459,美瑛町,66.67 ,50.00 
1460,上富良野町,50.00 ,50.00 
1461,中富良野町,83.33 ,83.33 
1462,南富良野町,80.00 ,80.00 
1463,占冠村,100.00 ,50.00 
1464,和寒町,0.00 ,0.00 
1465,剣淵町,0.00 ,0.00 
1468,下川町,0.00 ,0.00 
1469,美深町,50.00 ,50.00 
1470,音威子府村,100.00 ,100.00 
1471,中川町,100.00 ,0.00 
1472,幌加内町,50.00 ,50.00 
1481,増毛町,75.00 ,75.00 
